IP地址,端口,TLS,数据中心,地区,城市,网络延迟
5.252.26.6,443,true,SIN,Asia Pacific,Singapore,7 ms
5.252.26.11,443,true,SIN,Asia Pacific,Singapore,7 ms
5.252.26.61,443,true,SIN,Asia Pacific,Singapore,7 ms
5.252.26.4,443,true,SIN,Asia Pacific,Singapore,7 ms
5.252.26.7,443,true,SIN,Asia Pacific,Singapore,8 ms
5.252.26.8,443,true,SIN,Asia Pacific,Singapore,9 ms
5.252.26.62,443,true,SIN,Asia Pacific,Singapore,10 ms
5.252.26.5,443,true,SIN,Asia Pacific,Singapore,14 ms
5.252.26.10,443,true,SIN,Asia Pacific,Singapore,25 ms
5.252.26.9,443,true,SIN,Asia Pacific,Singapore,25 ms
92.223.116.254,443,true,SIN,Asia Pacific,Singapore,26 ms
92.223.116.203,443,true,SIN,Asia Pacific,Singapore,29 ms
92.223.116.207,443,true,SIN,Asia Pacific,Singapore,29 ms
92.223.116.205,443,true,SIN,Asia Pacific,Singapore,30 ms
92.223.116.223,443,true,SIN,Asia Pacific,Singapore,30 ms
92.223.116.220,443,true,SIN,Asia Pacific,Singapore,30 ms
92.223.116.253,443,true,SIN,Asia Pacific,Singapore,32 ms
92.223.116.224,443,true,SIN,Asia Pacific,Singapore,32 ms
92.223.116.222,443,true,SIN,Asia Pacific,Singapore,33 ms
92.223.116.221,443,true,SIN,Asia Pacific,Singapore,33 ms
92.223.76.25,443,true,HKG,Asia Pacific,Hong Kong,49 ms
92.223.76.23,443,true,HKG,Asia Pacific,Hong Kong,52 ms
92.223.76.30,443,true,HKG,Asia Pacific,Hong Kong,53 ms
92.223.76.20,443,true,HKG,Asia Pacific,Hong Kong,54 ms
92.223.76.24,443,true,HKG,Asia Pacific,Hong Kong,62 ms
171.234.242.198,443,true,HKG,Asia Pacific,Hong Kong,67 ms
171.234.242.197,443,true,HKG,Asia Pacific,Hong Kong,69 ms
171.234.242.199,443,true,HKG,Asia Pacific,Hong Kong,69 ms
171.229.196.138,443,true,SIN,Asia Pacific,Singapore,77 ms
